DAY,UNITS1,REGPR1,FEAT1,RATING1,UNITS2,REGPR2,FEAT2,RATING2,UNITS3,REGPR3,FEAT3,RATING3
1,553,1.33,0,4,515,0.94,0,3.5,167,1.07,0,4
2,595,1.31,0,4,456,0.95,0,3.5,400,0.93,0,4
3,623,1.29,0,4,508,0.98,0,3.5,213,1.07,0,4
4,582,1.29,0,4,448,0.92,0,3.5,1009,1.02,0,4
5,700,1.29,0,4,490,0.92,0,3.7,265,0.98,0,4
6,574,1.29,0,4,874,0.88,1,3.7,993,0.97,0,4
7,576,1.29,0,4,559,0.9,0,3.5,351,0.94,0,4
8,631,1.16,0,4,872,0.89,1,3.5,843,0.89,0,4.3
9,806,1.09,0,4,316,0.94,0,3.6,442,0.85,0,4.3
10,675,1.09,0,4,481,0.95,0,3.6,908,0.86,0,4.1
11,685,1.1,0,4,257,0.96,0,3.5,63,0.87,0,4.1
12,771,1.18,0,4,292,1.02,0,3.5,101,0.89,0,4.1
13,813,1.18,0,4,113,1.04,0,3.5,296,0.94,0,4.1
14,1258,1.18,1,4,135,1.06,0,3.5,372,0.96,0,4.1
15,718,1.18,0,4,148,1.02,0,3.7,188,0.99,0,4.1
16,643,1.18,0,4,259,1.04,0,3.6,129,0.99,0,4.1
17,1169,1,1,4,28,1.04,0,3.6,1361,1,1,4.1
18,815,1.02,0,4,146,1.06,0,3.6,18,1.05,0,4.1
19,821,1.18,0,4.2,194,1.05,0,3.6,289,1.05,0,4.1
20,689,1.18,0,4.2,235,1.07,0,3.6,900,1.05,0,4.1
21,795,1.18,0,4.2,317,1.07,0,3.6,176,1.07,0,4.1
22,1268,1,1,4.2,224,1.08,0,3.6,8,1.13,0,4.1
23,739,1.03,0,4.2,213,1.09,0,3.6,356,1.11,0,4.1
24,669,1.19,0,4.2,182,1.09,0,3.6,971,0.96,1,4.1
25,747,1.19,0,4.2,254,1.09,0,3.6,223,1.02,0,4.1
26,651,1.19,0,4.2,187,1.09,0,3.6,149,1.13,0,3.9
27,1108,1.19,1,4.2,99,1.1,0,3.6,192,1.12,0,3.9
28,886,1.18,0,4.2,505,1.09,1,3.6,68,1.09,0,3.9
29,729,1.18,0,4.2,467,1.09,1,3.6,139,1.09,0,3.9
30,932,1.18,0,4.2,231,1.09,0,3.6,12,1.09,0,3.9
31,716,1.18,0,4.2,275,1.11,0,3.6,71,1.11,0,3.9
32,748,1.18,0,4.2,241,1.12,0,3.8,32,1.11,0,3.9
33,1323,0.99,1,4.2,69,1.13,0,3.7,2,1.12,0,3.9
34,794,1.02,0,4.2,163,1.11,0,3.7,73,1.06,0,3.9
35,702,1.11,0,4.2,142,1.14,0,3.7,163,1.12,0,3.9
36,842,1.18,0,4.2,365,1.11,0,3.7,95,1.08,0,3.9
37,669,1.18,0,4.2,193,1.14,0,3.7,24,1.1,0,3.9
38,795,1.18,0,4.2,90,1.15,0,3.7,817,1.09,0,3.9
39,698,1.18,0,4.2,147,1.14,0,3.7,2150,0.79,1,3.9
40,789,1.18,0,4.2,125,1.15,0,3.7,700,0.82,0,3.9
41,798,1.18,0,4.2,182,1.15,0,3.7,88,1.01,0,3.9
42,672,1.18,0,4.2,162,1.15,0,3.7,373,1.01,0,3.9
43,1290,1.16,1,4.2,52,1.13,0,3.7,107,1.01,0,3.9
44,876,1.09,0,4.2,93,0.99,0,3.7,70,0.89,0,3.9
45,720,1.09,0,4.2,180,1,0,3.7,122,0.89,0,3.9
46,826,1.09,0,4.2,105,0.99,0,3.7,102,0.89,0,3.9
47,796,1.09,0,4.2,216,0.99,0,3.7,467,0.89,0,3.9
48,706,1.09,0,4.2,291,0.99,0,3.7,230,0.89,0,3.9
49,778,1.09,0,4.2,401,0.99,0,3.7,1650,0.89,1,3.9
50,787,1.09,0,4.2,787,0.89,1,3.7,62,0.89,0,3.9
51,717,1.09,0,4.2,370,0.91,0,3.7,48,0.89,0,3.9
52,744,1.09,0,4.2,297,1,0,3.7,212,0.89,0,3.9
53,703,1.09,0,4.2,246,0.99,0,3.7,7877,0.79,1,3.9
54,798,1.09,0,4.2,310,0.99,0,3.7,841,0.79,1,3.9
55,699,1.09,0,4.2,200,0.99,0,3.7,47,0.81,0,3.9
56,903,1,0,4.2,692,0.9,1,3.7,399,0.83,0,3.9
57,766,0.97,0,4.2,257,0.89,0,3.7,70,0.81,0,3.9
58,776,0.97,0,4.2,640,0.89,1,3.9,27,0.82,0,3.9
59,819,0.97,0,4.2,268,0.89,0,3.7,18,0.81,0,3.9
60,922,0.97,0,4.2,373,0.89,0,3.7,224,0.81,0,3.9
61,815,0.97,0,4.2,327,0.89,0,3.7,191,0.9,0,3.9
62,823,0.97,0,4.2,183,0.89,0,3.7,260,0.89,0,3.9
63,1309,0.97,1,4.2,384,0.89,0,3.7,80,0.85,0,3.9
64,824,0.97,0,4.2,352,0.9,0,3.7,57,0.84,0,3.9
65,877,0.97,0,4.2,183,0.9,0,3.7,442,0.84,0,3.9
66,822,1,0,4.2,285,0.9,0,3.7,216,0.86,0,3.9
67,866,1.07,0,4.2,265,0.94,0,3.7,18,0.9,0,3.9
68,844,1.08,0,4.2,192,0.95,0,3.7,86,0.95,0,3.9
69,1329,1.08,1,4.3,176,0.94,0,3.7,782,0.93,0,3.8
70,840,1.08,0,4.3,266,0.96,0,3.7,38,0.95,0,3.8
