ID,y_Response,x1_Gender,x2_Hotline1,x3_Hotline2
1,1,0,99,73
2,0,1,13,82
3,0,0,49,58
4,0,1,2,97
5,0,1,93,39
6,0,0,26,8
7,0,0,7,62
8,0,1,10,10
9,0,0,91,47
10,0,1,72,84
11,0,1,16,71
12,0,1,23,14
13,0,0,93,66
14,0,0,75,31
15,0,0,48,11
16,0,1,65,50
17,0,0,41,76
18,0,0,61,13
19,0,1,28,82
20,0,0,16,59
21,1,1,88,23
22,0,0,40,62
23,0,1,57,14
24,0,0,6,90
25,1,1,85,73
26,1,1,87,98
27,0,1,40,53
28,0,1,69,54
29,0,0,35,48
30,0,0,62,72
31,0,0,3,63
32,1,1,82,96
33,0,0,50,27
34,0,1,97,6
35,0,1,29,19
36,0,1,19,69
37,0,0,89,20
38,0,1,77,25
39,0,0,31,72
40,0,0,38,4
41,0,1,27,52
42,0,1,5,36
43,0,1,66,32
44,1,1,90,88
45,0,0,53,15
46,0,1,4,8
47,0,1,61,13
48,0,1,66,63
49,0,0,85,6
50,0,1,89,32
51,0,1,9,97
52,0,0,80,84
53,0,0,85,50
54,0,0,22,86
55,0,0,7,50
56,0,0,51,50
57,0,0,42,21
58,0,0,24,81
59,0,1,40,84
60,0,0,44,53
61,0,1,24,14
62,0,1,7,62
63,0,1,56,8
64,0,1,21,17
65,1,1,63,95
66,0,1,76,2
67,0,0,16,30
68,0,1,90,62
69,0,1,54,3
70,0,0,32,95
71,0,1,79,27
72,1,0,61,76
73,0,0,84,22
74,0,1,13,57
75,0,1,29,97
76,1,1,73,86
77,0,0,35,10
78,0,0,15,71
79,0,1,18,26
80,0,1,43,54
81,0,1,73,34
82,0,1,11,91
83,0,1,7,91
84,0,0,11,95
85,0,1,41,99
86,1,0,79,90
87,0,0,74,22
88,0,1,24,81
89,1,1,96,77
90,1,1,92,58
91,0,0,15,53
92,0,0,42,52
93,1,0,96,93
94,0,0,2,78
95,0,0,2,29
96,0,0,17,72
97,0,1,15,62
98,0,1,63,44
99,0,1,50,71
100,0,0,77,3
101,0,0,94,61
102,0,0,65,40
103,0,0,55,34
104,0,1,65,9
105,0,1,20,72
106,0,0,85,61
107,0,1,76,53
108,0,0,73,55
109,0,0,37,22
110,0,1,69,9
111,0,0,31,62
112,1,1,63,56
113,1,1,73,77
114,0,1,13,83
115,0,1,69,21
116,0,1,19,89
117,0,0,16,11
118,0,0,19,10
119,0,1,66,73
120,0,0,64,42
121,0,1,27,55
122,0,0,23,15
123,0,1,75,33
124,0,1,15,49
125,0,0,58,87
126,0,0,10,87
127,1,1,100,100
128,0,1,30,45
129,1,0,90,40
130,0,0,12,21
131,0,0,73,7
132,0,0,28,80
133,1,0,80,79
134,0,0,38,49
135,0,0,58,8
136,0,1,91,59
137,0,1,34,53
138,0,1,7,79
139,0,1,41,78
140,0,1,94,11
141,0,0,49,39
142,0,1,41,9
143,0,1,34,53
144,0,1,8,94
145,0,0,62,91
146,1,0,89,93
147,0,1,33,41
148,1,0,84,92
149,0,1,59,63
150,1,0,77,78
151,0,0,42,32
152,0,0,3,61
153,0,0,65,32
154,0,0,27,18
155,0,0,70,83
156,0,0,7,56
157,0,0,34,3
158,0,0,80,17
159,1,0,99,85
160,0,1,88,25
161,1,0,96,98
162,0,0,77,18
163,0,1,4,53
164,0,0,95,11
165,0,0,80,94
166,0,1,27,1
167,0,1,50,51
168,0,1,61,4
169,0,0,10,81
170,0,1,70,48
171,0,1,19,86
172,0,0,12,68
173,1,1,43,93
174,0,0,52,72
175,0,0,25,85
176,1,1,96,59
177,0,1,66,14
178,1,1,65,76
179,0,1,39,45
180,0,1,77,71
181,1,1,39,84
182,0,0,25,54
183,0,1,54,22
184,0,1,56,36
185,0,0,99,63
186,0,1,91,36
187,1,1,73,70
188,0,1,53,16
189,0,1,49,10
190,0,0,29,53
191,0,0,52,14
192,0,1,44,45
193,0,0,75,85
194,0,1,41,63
195,0,1,2,73
196,0,0,96,26
197,1,0,82,31
198,0,0,8,91
199,1,1,67,73
200,0,1,75,23
