acctnum,gender,state,zip,zip3,first,last,book,nonbook,total,purch,child,youth,cook,do_it,refernce,art,geog,buyer
10001,M,NY,10605,106,49,29,109,248,357,10,3,2,2,0,1,0,2,0.00
10002,M,NY,10960,109,39,27,35,103,138,3,0,1,0,1,0,0,1,0.00
10003,F,PA,19146,191,19,15,25,147,172,2,0,0,2,0,0,0,0,0.00
10004,F,NJ,7016,70,7,7,15,257,272,1,0,0,0,0,1,0,0,0.00
10005,F,NY,10804,108,15,15,15,134,149,1,0,0,1,0,0,0,0,0.00
10006,F,NY,11366,113,7,7,15,98,113,1,0,1,0,0,0,0,0,1.00
10007,M,CT,6460,64,25,25,15,0,15,1,0,0,0,1,0,0,0,0.00
10008,M,NJ,8402,84,41,1,124,114,238,11,2,1,2,3,0,0,3,0.00
10009,F,NJ,7452,74,65,5,130,288,418,11,0,2,3,2,0,3,1,1.00
10010,F,NJ,8027,80,11,11,15,108,123,1,0,1,0,0,0,0,0,0.00
10011,F,NJ,8873,88,7,5,25,269,294,2,0,1,1,0,0,0,0,0.00
10012,F,NJ,8620,86,15,13,27,146,173,2,0,1,0,0,1,0,0,0.00
10013,F,MA,1040,10,13,13,15,211,226,1,0,0,0,1,0,0,0,0.00
10014,M,NJ,8721,87,17,5,37,251,288,3,0,0,2,0,1,0,0,0.00
10015,F,NY,12590,125,25,25,15,0,15,1,0,0,1,0,0,0,0,0.00
10016,F,NJ,7083,70,5,1,23,111,134,2,2,0,0,0,0,0,0,0.00
10017,F,PA,18929,189,19,7,39,137,176,3,0,0,2,0,0,0,1,0.00
10018,M,CT,6902,69,33,7,147,300,447,12,4,0,6,0,0,2,0,0.00
10019,F,NJ,8759,87,17,11,26,181,207,2,0,0,1,1,0,0,0,0.00
10020,F,NH,3458,34,13,11,25,276,301,2,0,1,1,0,0,0,0,0.00
10021,M,NY,10023,100,15,9,25,177,202,2,0,1,1,0,0,0,0,0.00
10022,F,NJ,7921,79,15,15,15,72,87,1,0,0,0,0,1,0,0,0.00
10023,M,NJ,7666,76,55,23,101,287,388,9,2,0,3,1,1,1,1,0.00
10024,F,NY,11024,110,5,1,29,85,114,2,0,0,0,0,0,1,1,0.00
10025,F,PA,19020,190,21,13,25,272,297,2,0,1,1,0,0,0,0,0.00
10026,F,NY,11429,114,15,15,15,14,29,1,1,0,0,0,0,0,0,0.00
10027,M,MD,21037,210,25,11,82,243,325,7,1,0,2,2,0,1,1,0.00
10028,F,MD,21133,211,67,13,137,74,211,12,2,0,6,1,1,0,2,0.00
10029,M,NY,11373,113,9,7,28,100,128,2,0,1,0,0,0,1,0,0.00
10030,F,PA,19382,193,13,13,15,225,240,1,1,0,0,0,0,0,0,0.00
10031,M,DE,19971,199,61,27,137,66,203,12,3,0,3,4,0,0,2,0.00
10032,F,NY,11374,113,59,7,109,186,295,9,2,0,1,0,1,1,4,0.00
10033,F,NY,11558,115,15,15,15,239,254,1,1,0,0,0,0,0,0,0.00
10034,F,NY,10573,105,27,3,95,255,350,9,3,0,4,0,0,2,0,0.00
10035,F,PA,15235,152,19,13,29,103,132,2,0,0,0,0,0,1,1,0.00
10036,F,PA,16506,165,9,9,15,56,71,1,0,0,0,1,0,0,0,0.00
10037,F,VI,841,8,7,7,15,40,55,1,0,0,0,0,0,0,1,0.00
10038,M,MD,21087,210,13,13,15,131,146,1,0,0,0,1,0,0,0,0.00
10039,F,NY,14020,140,21,21,15,175,190,1,0,0,1,0,0,0,0,0.00
10040,F,NJ,7208,72,9,9,15,108,123,1,1,0,0,0,0,0,0,0.00
10041,M,NJ,7740,77,31,17,70,266,336,6,2,0,1,1,0,2,0,1.00
10042,F,NJ,7105,71,13,11,25,221,246,2,1,0,1,0,0,0,0,0.00
10043,F,MA,2791,27,45,1,128,132,260,11,1,2,3,1,0,1,3,0.00
10044,F,NY,14004,140,37,13,101,37,138,9,1,1,3,2,0,1,1,0.00
10045,F,NY,12438,124,33,33,15,37,52,1,0,0,1,0,0,0,0,0.00
10046,F,NH,3840,38,55,21,78,60,138,7,2,1,2,0,1,0,1,0.00
10047,F,NY,12866,128,1,1,15,213,228,1,0,1,0,0,0,0,0,0.00
10048,M,MA,2194,21,83,29,126,321,447,11,3,0,2,2,0,3,1,0.00
10049,F,CT,6033,60,19,11,26,122,148,2,1,0,0,1,0,0,0,0.00
10050,F,MD,21209,212,31,13,46,295,341,4,1,2,0,0,0,0,1,0.00
10051,F,NY,11530,115,9,9,15,242,257,1,0,0,1,0,0,0,0,0.00
10052,F,NY,10471,104,23,21,23,79,102,2,2,0,0,0,0,0,0,0.00
10053,M,NY,11762,117,45,13,63,135,198,6,2,1,2,1,0,0,0,0.00
10054,F,NJ,7481,74,19,17,27,237,264,2,0,0,1,0,1,0,0,0.00
10055,F,NY,14217,142,77,5,137,49,186,12,2,1,3,0,1,1,4,1.00
10056,M,NY,10308,103,49,9,89,56,145,8,1,1,4,0,0,1,1,0.00
10057,F,CT,6320,63,5,5,15,196,211,1,0,0,1,0,0,0,0,0.00
10058,M,MA,2324,23,31,3,59,230,289,5,1,1,1,1,0,0,1,0.00
10059,F,NJ,7044,70,9,5,29,68,97,2,0,0,1,0,0,0,1,0.00
10060,F,NJ,8701,87,11,5,25,120,145,2,1,0,1,0,0,0,0,0.00
10061,F,PA,19464,194,15,15,15,175,190,1,0,0,0,0,0,0,1,0.00
10062,F,NY,11788,117,13,13,15,239,254,1,0,0,0,0,0,1,0,0.00
10063,M,CT,6810,68,43,13,67,118,185,6,1,0,3,1,0,1,0,0.00
10064,F,PA,19146,191,5,1,29,114,143,2,0,1,0,0,0,0,1,0.00
10065,M,DE,19901,199,13,9,29,153,182,2,1,0,0,0,0,0,1,0.00
10066,M,NJ,7746,77,17,7,39,84,123,3,0,0,1,0,0,0,2,0.00
10067,F,NY,14207,142,11,11,15,175,190,1,0,0,0,0,0,1,0,0.00
10068,M,NJ,7506,75,63,9,128,123,251,12,4,2,1,2,1,1,1,0.00
10069,M,NJ,7006,70,67,27,117,204,321,10,3,0,1,2,0,2,2,0.00
10070,F,MA,2110,21,5,5,15,246,261,1,1,0,0,0,0,0,0,0.00
10071,F,CT,6010,60,13,13,15,240,255,1,0,1,0,0,0,0,0,0.00
10072,F,PA,18212,182,29,13,45,291,336,4,1,2,0,0,0,1,0,0.00
10073,M,PA,19111,191,41,15,61,119,180,5,2,0,0,1,0,1,1,1.00
10074,F,NJ,8030,80,65,13,119,276,395,11,4,2,2,0,0,0,3,0.00
10075,M,RI,2906,29,39,13,76,172,248,7,1,0,4,1,1,0,0,0.00
10076,F,NY,11370,113,31,13,50,23,73,4,2,0,0,0,0,1,1,0.00
10077,M,NJ,7726,77,25,13,56,178,234,5,1,0,1,2,1,0,0,0.00
10078,F,NY,10308,103,9,9,15,269,284,1,0,1,0,0,0,0,0,0.00
10079,F,DE,19703,197,13,13,15,172,187,1,1,0,0,0,0,0,0,0.00
10080,F,NJ,8619,86,63,31,118,280,398,11,7,1,0,0,1,1,1,0.00
10081,F,PA,17868,178,9,9,15,237,252,1,0,0,0,0,0,1,0,0.00
10082,F,CT,6492,64,13,13,15,186,201,1,0,0,0,1,0,0,0,0.00
10083,F,NJ,8520,85,53,7,98,54,152,8,1,0,1,0,2,4,0,1.00
10084,F,MA,2176,21,17,15,28,157,185,2,0,0,0,1,0,1,0,0.00
10085,F,NY,11733,117,13,13,15,259,274,1,0,0,1,0,0,0,0,0.00
10086,F,NY,11030,110,11,11,15,36,51,1,0,0,0,1,0,0,0,0.00
10087,M,MA,2050,20,15,15,15,55,70,1,0,0,0,0,1,0,0,0.00
10088,F,PA,15644,156,25,25,15,157,172,1,0,0,1,0,0,0,0,0.00
10089,F,PA,15202,152,37,1,82,266,348,7,1,1,2,0,1,0,2,0.00
10090,F,NY,10465,104,19,5,38,202,240,3,0,1,1,0,0,0,1,0.00
10091,M,NY,11201,112,35,9,140,57,197,12,3,0,4,2,2,1,0,0.00
10092,F,MA,2121,21,37,3,139,297,436,12,2,0,3,2,1,2,2,1.00
10093,M,NJ,8086,80,41,33,27,148,175,2,0,0,0,0,2,0,0,0.00
10094,M,NJ,8520,85,15,11,29,98,127,2,0,1,0,0,0,0,1,0.00
10095,M,NJ,7054,70,19,1,49,226,275,4,0,0,2,1,0,1,0,0.00
10096,M,NY,10923,109,27,19,29,210,239,2,0,0,1,0,0,0,1,0.00
10097,F,NY,12601,126,19,13,25,238,263,2,1,0,1,0,0,0,0,0.00
10098,F,NJ,8520,85,25,11,47,25,72,4,1,1,1,0,0,0,1,0.00
10099,F,NY,10010,100,19,11,28,246,274,2,1,0,0,0,0,1,0,0.00
10100,M,NY,11743,117,17,1,39,281,320,3,0,0,0,1,0,2,0,1.00
10101,F,NY,11224,112,35,33,29,168,197,2,0,0,0,0,0,0,2,0.00
10102,F,NY,13413,134,9,3,26,274,300,2,0,0,1,1,0,0,0,0.00
10103,F,NY,10566,105,3,3,15,253,268,1,0,0,0,0,0,0,1,1.00
10104,M,PA,17201,172,1,1,15,74,89,1,0,0,0,0,0,0,1,0.00
10105,F,MD,21001,210,19,13,25,82,107,2,1,0,1,0,0,0,0,0.00
10106,M,MD,20748,207,37,33,24,229,253,2,1,1,0,0,0,0,0,0.00
10107,M,PA,17013,170,13,13,15,47,62,1,0,0,0,1,0,0,0,0.00
10108,M,PA,19085,190,23,7,80,171,251,7,3,0,1,0,1,1,1,0.00
10109,F,MD,21209,212,59,25,79,260,339,7,1,0,3,1,1,1,0,0.00
10110,M,MA,2673,26,35,11,132,150,282,12,3,2,1,2,2,1,1,0.00
10111,F,CT,6282,62,47,13,81,159,240,7,2,0,1,0,1,0,3,0.00
10112,F,MA,1826,18,13,13,15,120,135,1,1,0,0,0,0,0,0,0.00
10113,F,MA,1238,12,9,9,15,67,82,1,0,0,0,0,0,0,1,0.00
10114,F,NY,10475,104,37,23,66,92,158,5,0,0,1,0,0,2,2,0.00
10115,F,NJ,7646,76,13,13,15,34,49,1,1,0,0,0,0,0,0,0.00
10116,F,ME,4444,44,9,3,25,188,213,2,1,0,1,0,0,0,0,0.00
10117,M,NJ,8210,82,59,7,142,223,365,11,3,0,0,0,1,1,6,1.00
10118,F,NY,11561,115,13,13,15,233,248,1,0,1,0,0,0,0,0,0.00
10119,F,NJ,7840,78,9,1,25,159,184,2,1,0,1,0,0,0,0,0.00
10120,F,NY,11787,117,19,9,54,199,253,4,1,0,0,0,1,1,1,1.00
10121,F,PA,19144,191,57,13,104,152,256,9,2,0,3,0,1,1,2,0.00
10122,M,MA,1970,19,13,9,27,78,105,2,0,0,0,0,2,0,0,0.00
10123,F,NY,11230,112,19,19,15,98,113,1,1,0,0,0,0,0,0,0.00
