"","Keyword ID","Date","Keyword","Headline","Line 1","Line 2","Impressions","Clicks","Avg_CPC","Cost","Position","actioncount","revenue","Competition","Volume","CTR","Conversion","Headline_KW_Words","Headline_KW_Count","KeywordinHeadline","KeywordinBody"
"1",1591,2006-12-26,"buckcherry ringtones","Get Buckcherry Ringtones","Get Buckcherry Ring Tones Now","Tones to Your Phone in 30 Seconds!",10,3,0.553333333333333,1.66,1.05,1,13.7,0,1,0.3,0.333333333333333,"buckcherry,ringtones,Ringtones,ringtone,ring,tone,tones",7,1,0.5
"2",1600,2006-12-26,"Three 6 Mafia Ringtones","Three 6 Mafia Tones","Poppin My Collar, Stay Fly & More.","Tones to Your Phone in 30 Seconds!",32,5,0.764,3.82,1.31666666666667,0,0,0,0,0.15625,0,"Three,6,Mafia,A,tone,tones",6,0.75,0
"3",1683,2006-12-26,"Carrie Underwood Ringtones","Carrie Underwood Tones","Jesus, Take The Wheel & Many More.","Tones to Your Phone in 30 Seconds!",52,8,0.80625,6.45,1.45,0,0,0,1,0.153846153846154,0,"Carrie,Underwood,A,tone,tones",5,0.666666666666667,0
"4",1689,2006-12-26,"def leppard ringtones","Def Leppard Ringtones","Pour Some Sugar On Me and Many More","Tones to Your Phone in 30 Seconds!",34,7,0.707142857142857,4.95,1.13333333333333,1,13.7,2,0,0.205882352941176,0.142857142857143,"ringtones,Ringtones,def,leppard,A,ringtone,ring,tone,tones",9,1,0
"5",1980,2006-12-26,"System Of A Down Ringtones","System Of A Down Tones","Hypnotize, Chop Suey, Aerials, More","Tones to Your Phone in 30 Seconds!",32,3,0.783333333333333,2.35,1.73333333333333,0,0,2,0,0.09375,0,"System,Of,A,Down,tone,tones",6,0.8,0
"6",2324,2006-12-26,"theme song ringtone","TV Theme Ringtones","Get {KeyWord: Your Favorite TV Ringtones}","Tones to Your Phone in 30 Seconds!",148,17,0.715882352941176,12.17,2.4,0,0,0,1,0.114864864864865,0,"ringtones,Ringtones,theme,ringtone,the,ring,tone,tones,tv",9,0.333333333333333,0
"7",2627,2006-12-26,"hawaiian music ringtones","{KeyWord: Complimentary Ringtones}","Download Now - Limited Time Offer.","Tones to Your Phone in 30 Seconds!",3,1,0.49,0.49,1.75,0,0,0,0,0.333333333333333,0,"ringtones,Ringtones,A,ringtone,ring,tone,tones",7,0,0
"8",3039,2006-12-26,"ringtones panic at the disco","Panic! At The Disco","Get Panic! At The Disco Ring Tones","Download in 30 Seconds",1,0,0,0,1,0,0,0,1,0,0,"A,panic,at,the,disco",5,0.6,0.6
"9",3360,2006-12-26,"ringtones cascada","Get Cascada Ringtones","Get Everytime We Touch Ring Tone","Tones in 30 Seconds - It's Da Bomb!",18,1,0.87,0.87,2.03333333333333,0,0,0,0,0.0555555555555556,0,"ringtones,Ringtones,A,ringtone,cascada,ring,tone,tones",8,1,0
"10",8288,2006-12-26,"Kid Rock Ringtones","Get Kid Rock Ringtones","Picture, Cowboy, Bawitdaba & More.","Tones in 30 Seconds - It's Da Bomb!",16,2,0.75,1.5,1.3,0,0,1,0,0.125,0,"ringtones,Ringtones,ringtone,Kid,Rock,ring,tone,tones",8,1,0
"11",9409,2006-12-26,"Gospel Ringtones","{KeyWord: Inspirational Ringtones}","The Lord Has a Gift For You Today","Tones to Your Phone in 30 Seconds!",75,8,0.91625,7.33,1.74285714285714,0,0,3,2,0.106666666666667,0,"ringtones,Ringtones,A,ringtone,at,ring,tone,tones",8,0,0
"12",9708,2006-12-26,"mosquito ring tone","Stealth Mosquito Ringtone","You know you want it - we got it!","Works with all carriers. Get it Now",192,25,0.6964,17.41,4.18181818181818,0,0,0,2,0.130208333333333,0,"A,ringtone,mosquito,ring,tone",5,0.333333333333333,0
"13",9710,2006-12-26,"mosquito ringer","Mosquito Ringtone","You know you want it - we got it!","Works with all carriers. Get it Now",30,6,0.693333333333333,4.16,1.13333333333333,1,14.6,0,1,0.2,0.166666666666667,"ringtone,mosquito,ring,tone",4,0.5,0
"14",9722,2006-12-26,"ultrasonic ringtone","Stealth Mosquito Ringtone","Yeah, the one the adults can't hear","Tones to Your Phone in 30 Seconds!",36,4,0.7975,3.19,1.075,1,14.6,0,1,0.111111111111111,0.25,"A,ringtone,mosquito,ring,tone",5,0.5,0
"15",9724,2006-12-26,"ringtones adults can't hear","Mosquito Ringtone","Yeah, the one the adults can't hear","Works with all carriers. Get it Now",15,0,0,0,2.6,0,0,0,0,0,0,"ringtone,mosquito,ring,tone",4,0,0.75
"16",9728,2006-12-26,"ringtone adults can't hear","Stealth Mosquito Ringtone","Yeah, the one the adults can't hear","Tones in 30 Seconds - It's Da Bomb!",37,3,0.3,0.9,1.03333333333333,0,0,0,0,0.0810810810810811,0,"A,ringtone,mosquito,ring,tone",5,0.25,0.75
"17",9756,2006-12-26,"family guy ringtones","Get Family Guy Ringtones","Your Favorite Family Guy Ringtones","Tones to Your Phone in 30 Seconds!",184,26,0.664615384615385,17.28,1.17777777777778,1,13.7,0,2,0.141304347826087,0.0384615384615385,"ringtones,Ringtones,A,ringtone,ring,tone,family,guy,tones",9,1,1
"18",9788,2006-12-26,"ctu ringtone","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",115,18,0.812222222222222,14.62,1.74545454545455,1,13.7,4,2,0.156521739130435,0.0555555555555556,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0.5
"19",9789,2006-12-26,"24 ringtone","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",2,0,0,0,1,0,0,4,2,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0
"20",9792,2006-12-26,"24 ring tones","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",67,17,0.527058823529412,8.96,1.03,0,0,3,1,0.253731343283582,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.333333333333333,0
"21",9798,2006-12-26,"24 ringer","24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones in 30 Seconds - It's Da Bomb!",5,0,0,0,2,0,0,0,1,0,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0
"22",9800,2006-12-26,"ctu ringer","Get 24 CTU Ringtones","Theme, CTU Office Phone, Clock Tick","Tones to Your Phone in 30 Seconds!",23,2,0.575,1.15,1.85714285714286,0,0,0,0,0.0869565217391304,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0.5
"23",9801,2006-12-26,"24 ringers","24 CTU Ringtones","24 Theme, CTU Office Phone and More","Tones in 30 Seconds - It's Da Bomb!",2,1,0.62,0.62,1,0,0,0,0,0.5,0,"ringtones,Ringtones,ringtone,ring,tone,ctu,24,tones",8,0.5,0.5
