,keywords_ls,,,,,keywords_ls,CNT
1,buckcherry,,,,,ringtones,19
2,ringtones,,,,,24,18
3,Three,,,,,ringtone,15
4,6,,,,,ctu,6
5,Mafia,,,,,ringer,3
6,Ringtones,,,,,for,3
7,Carrie,,,,,theme,2
8,Underwood,,,,,mosquito,2
9,Ringtones,,,,,ring,2
10,def,,,,,adults,2
11,leppard,,,,,can't,2
12,ringtones,,,,,hear,2
13,System,,,,,fox,2
14,Of,,,,,phone,2
15,A,,,,,tv,2
16,Down,,,,,show,2
17,Ringtones,,,,,buckcherry,1
18,theme,,,,,Three,1
19,song,,,,,6,1
20,ringtone,,,,,Mafia,1
21,hawaiian,,,,,Carrie,1
22,music,,,,,Underwood,1
23,ringtones,,,,,def,1
24,ringtones,,,,,leppard,1
25,panic,,,,,System,1
26,at,,,,,Of,1
27,the,,,,,A,1
28,disco,,,,,Down,1
29,ringtones,,,,,song,1
30,cascada,,,,,hawaiian,1
31,Kid,,,,,music,1
32,Rock,,,,,panic,1
33,Ringtones,,,,,at,1
34,Gospel,,,,,the,1
35,Ringtones,,,,,disco,1
36,mosquito,,,,,cascada,1
37,ring,,,,,Kid,1
38,tone,,,,,Rock,1
39,mosquito,,,,,Gospel,1
40,ringer,,,,,tone,1
41,ultrasonic,,,,,ultrasonic,1
42,ringtone,,,,,family,1
43,ringtones,,,,,guy,1
44,adults,,,,,tones,1
45,can't,,,,,ringers,1
46,hear,,,,,from,1
47,ringtone,,,,,download,1
48,adults,,,,,verizon,1
49,can't,,,,,telephone,1
50,hear,,,,,,
51,family,,,,,,
52,guy,,,,,,
53,ringtones,,,,,,
54,ctu,,,,,,
55,ringtone,,,,,,
56,24,,,,,,
57,ringtone,,,,,,
58,24,,,,,,
59,ring,,,,,,
60,tones,,,,,,
61,24,,,,,,
62,ringer,,,,,,
63,ctu,,,,,,
64,ringer,,,,,,
65,24,,,,,,
66,ringers,,,,,,
67,fox,,,,,,
68,24,,,,,,
69,ringtone,,,,,,
70,ctu,,,,,,
71,ringtone,,,,,,
72,for,,,,,,
73,fox,,,,,,
74,24,,,,,,
75,ringtones,,,,,,
76,24,,,,,,
77,theme,,,,,,
78,ringtone,,,,,,
79,24,,,,,,
80,phone,,,,,,
81,ringtone,,,,,,
82,24,,,,,,
83,tv,,,,,,
84,show,,,,,,
85,ringtone,,,,,,
86,ringtones,,,,,,
87,from,,,,,,
88,24,,,,,,
89,ringtones,,,,,,
90,ctu,,,,,,
