Keyword ID,Date,Keyword,Keyword_ringtone,Keyword_WordCount,Headline,Headline_WordCount,Headline_Number,Headline_Readability,Line 1,Line 1_Time,Line1_WordCount,Line 2,Line 2_Action,Line2_WordCount,Line_2_Time,Impressions,Clicks,Clicks_b, Avg_CPC , Cost ,Position,actioncount,actioncount_b,revenue,Competition,Volume,KeywordinHeadline,KeywordinBody,CTR,Conversion,Headline_Specific,Profit,Profitability
1591,12/26/2006,buckcherry ringtones,1,2,Get Buckcherry Ringtones,3,0,1,Get Buckcherry Ring Tones Now,1,5,Tones to Your Phone in 30 Seconds!,0,7,0,10,3,1,0.55,1.66,1.05,1,1,13.7,0,1,1,0.5,0.3,0.333333333,0,12.04,1
1600,12/26/2006,Three 6 Mafia Ringtones,1,4,Three 6 Mafia Tones,4,1,0,"Poppin My Collar, Stay Fly & More.",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,32,5,1,0.76,3.82,1.32,0,0,0,0,0,0.75,0,0.15625,0,1,-3.82,0
1683,12/26/2006,Carrie Underwood Ringtones,1,3,Carrie Underwood Tones,3,0,1,"Jesus, Take The Wheel & Many More.",0,7,Tones to Your Phone in 30 Seconds!,0,7,0,52,8,1,0.81,6.45,1.45,0,0,0,0,1,0.666666667,0,0.153846154,0,1,-6.45,0
1689,12/26/2006,def leppard ringtones,1,3,Def Leppard Ringtones,3,0,1,Pour Some Sugar On Me and Many More,0,8,Tones to Your Phone in 30 Seconds!,0,7,0,34,7,1,0.71,4.95,1.13,1,1,13.7,2,0,1,0,0.205882353,0.142857143,1,8.75,1
1980,12/26/2006,System Of A Down Ringtones,1,5,System Of A Down Tones,5,0,0,"Hypnotize, Chop Suey, Aerials, More",0,5,Tones to Your Phone in 30 Seconds!,0,7,0,32,3,1,0.78,2.35,1.73,0,0,0,2,0,0.8,0,0.09375,0,0,-2.35,0
2324,12/26/2006,theme song ringtone,0,3,TV Theme Ringtones,3,0,0,Get {KeyWord: Your Favorite TV Ringtones},0,6,Tones to Your Phone in 30 Seconds!,0,7,0,148,17,1,0.72,12.17,2.4,0,0,0,0,1,0.333333333,0,0.114864865,0,0,-12.17,0
2627,12/26/2006,hawaiian music ringtones,1,3,{KeyWord: Complimentary Ringtones},3,0,0,Download Now - Limited Time Offer.,1,6,Tones to Your Phone in 30 Seconds!,0,7,0,3,1,1,0.49,0.49,1.75,0,0,0,0,0,0,0,0.333333333,0,0,-0.49,0
3039,12/26/2006,ringtones panic at the disco,1,5,Panic! At The Disco,4,0,0,Get Panic! At The Disco Ring Tones,0,7,Download in 30 Seconds,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0.6,0.6,0,,1,0,0
3360,12/26/2006,ringtones cascada,1,2,Get Cascada Ringtones,3,0,1,Get Everytime We Touch Ring Tone,0,6,Tones in 30 Seconds - It's Da Bomb!,0,8,0,18,1,1,0.87,0.87,2.03,0,0,0,0,0,1,0,0.055555556,0,0,-0.87,0
8288,12/26/2006,Kid Rock Ringtones,1,3,Get Kid Rock Ringtones,4,0,0,"Picture, Cowboy, Bawitdaba & More.",0,5,Tones in 30 Seconds - It's Da Bomb!,0,8,0,16,2,1,0.75,1.5,1.3,0,0,0,1,0,1,0,0.125,0,1,-1.5,0
