Keyword ID,Date,Keyword,Headline,Line 1,Line 2,Impressions,Clicks,Avg_CPC,Cost,Position,actioncount,revenue,Competition,Volume,Key_ringtone_b,CTR,Head_word_ct,Number_head,Line_1_Time,line_2_action,Conversion_rate_clicks,Conversion_rate_Impre,ringtones panic at the disco,24 ringers,ringtones cascada,Kid Rock Ringtones,24 ringer,24 ringtone,ringtones for 24,24 theme ringtone,ctu ringtone for,ringtone adults can't hear,24 ringtone verizon,fox 24 ringtone,hawaiian music ringtones,theme song ringtone,buckcherry ringtones,System Of A Down Ringtones,Carrie Underwood Ringtones,Three 6 Mafia Ringtones,def leppard ringtones,Gospel Ringtones,fox 24 ringtones,24 ctu ringtones,24 phone ringtone,24 ring tones,24 telephone ringtone,24 tv show ringtone,24 tv show ringtones,ctu phone ringtone,ctu ringer,ctu ringtone,download 24 ringtone,ringtone for 24,ringtones 24,ringtones ctu,ringtones from 24,ultrasonic ringtone,family guy ringtones,ringtones adults can't hear,mosquito ringer,mosquito ring tone
3039,39077,ringtones panic at the disco,Panic! At The Disco,Get Panic! At The Disco Ring Tones,Download in 30 Seconds,1,0,0,0,1,0,0,0,1,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9801,39077,24 ringers,24 CTU Ringtones,"24 Theme, CTU Office Phone and More",Tones in 30 Seconds - It's Da Bomb!,2,1,0.62,0.62,1,0,0,0,0,0,0.5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3360,39077,ringtones cascada,Get Cascada Ringtones,Get Everytime We Touch Ring Tone,Tones in 30 Seconds - It's Da Bomb!,18,1,0.87,0.87,2.033333333,0,0,0,0,1,0.055555556,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8288,39077,Kid Rock Ringtones,Get Kid Rock Ringtones,"Picture, Cowboy, Bawitdaba & More.",Tones in 30 Seconds - It's Da Bomb!,16,2,0.75,1.5,1.3,0,0,1,0,1,0.125,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9798,39077,24 ringer,24 CTU Ringtones,"Theme, CTU Office Phone, Clock Tick",Tones in 30 Seconds - It's Da Bomb!,5,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9789,39077,24 ringtone,24 CTU Ringtones,"Theme, CTU Office Phone, Clock Tick",Tones in 30 Seconds - It's Da Bomb!,2,0,0,0,1,0,0,4,2,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9838,39077,ringtones for 24,24 CTU Ringtones,"Theme, CTU Office Phone, Clock Tick",Tones in 30 Seconds - It's Da Bomb!,2,0,0,0,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9810,39077,24 theme ringtone,Get 24 CTU Ringtones,"Theme, CTU Office Phone, Clock Tick",Tones in 30 Seconds - It's Da Bomb!,14,1,0.81,0.81,2,0,0,0,1,1,0.071428571,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9807,39077,ctu ringtone for,Get 24 CTU Ringtones,"Theme, CTU Office Phone, Clock Tick",Tones in 30 Seconds - It's Da Bomb!,4,1,0.79,0.79,3,0,0,0,0,1,0.25,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9728,39077,ringtone adults can't hear,Stealth Mosquito Ringtone,"Yeah, the one the adults can't hear",Tones in 30 Seconds - It's Da Bomb!,37,3,0.3,0.9,1.033333333,0,0,0,0,1,0.081081081,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
